shape_type,R,index,r_i,u_x,u_y,u_z,v_x,v_y,v_z,norm_v
normal,3.1622776601683795,1,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0
normal,3.1622776601683795,2,1.0378367193526972,0.9998699186986366,0.0,0.016129032258064516,1.037701716201641,0.0,0.0167393019250435,1.0378367193526972
normal,3.1622776601683795,3,1.0771050560367692,-0.7365051672459693,0.6746990643877845,0.04838709677419355,-0.7932934394378398,0.7267217735553604,0.052117986582424315,1.0771050560367694
normal,3.1622776601683795,4,1.1178591777554037,0.08714096816374788,-0.992926386812206,0.08064516129032258,0.09741133102033701,-1.1099518743335366,0.0901499336899519,1.1178591777554037
normal,3.1622776601683795,5,1.1601553017399717,0.60454849627808,0.7885264594485144,0.11290322580645161,0.7013701431159421,0.9148131524914428,0.13098527600290003,1.1601553017399717
normal,3.1622776601683795,6,1.2040517722974506,-0.97428340472078,-0.1723370159819652,0.14516129032258066,-1.1730876601740496,-0.2075026895255393,0.17478170888188801,1.2040517722974506
normal,3.1622776601683795,7,1.249609141291987,0.8303694061197012,-0.5282130459474007,0.1774193548387097,1.037637200536377,-0.6600598507655563,0.22170484764857834,1.249609141291987
normal,3.1622776601683795,8,1.2968902516716168,-0.2538334614250695,0.9442478242885514,0.20967741935483872,-0.32919414167023603,1.224585798481956,0.2719286011569519,1.296890251671617
normal,3.1622776601683795,9,1.3459603241553646,-0.44721455471963406,-0.8610844114783638,0.24193548387096775,-0.6019330470374357,-1.1589854535985498,0.3256355622956527,1.3459603241553644
normal,3.1622776601683795,10,1.3968870472002965,0.9033213643897355,0.3298915134706548,0.27419354838709675,1.2618379133753208,0.46082118214845985,0.3830174161678232,1.3968870472002963
normal,3.1622776601683795,11,1.449740670372632,-0.879871813488203,0.36319829401855996,0.3064516129032258,-1.2755859527283708,0.5265433382486635,0.44427536672709694,1.449740670372632
normal,3.1622776601683795,12,1.5045941012517126,0.3987928552202029,-0.8521971679416653,0.3387096774193548,0.6000213775856456,-1.2822108319884447,0.5096205826820316,1.5045941012517126
normal,3.1622776601683795,13,1.5615230060004972,0.2779286896385565,0.8860804579264139,0.3709677419354839,0.433992042898178,1.3836350202195509,0.5792746635163135,1.5615230060004972
normal,3.1622776601683795,14,1.620605913741318,-0.7917552219545905,-0.4588383348403702,0.4032258064516129,-1.2831231949351791,-0.743596118893523,0.6534701265085959,1.620605913741318
normal,3.1622776601683795,15,1.6819243248808697,0.8792001453403638,-0.19328968560281248,0.43548387096774194,1.478748110886754,-0.32509862396394595,0.7324509156739272,1.6819243248808697
normal,3.1622776601683795,16,1.7455628235338618,-0.508336819595278,0.7230568163246648,0.46774193548387094,-0.8873338541189568,1.2621410978790868,0.8164729335884192,1.7455628235338618
normal,3.1622776601683795,17,1.8116091942004142,-0.11129352202378986,-0.8588444282613353,0.5,-0.20162036775324402,-1.5558904626260333,0.9058045971002071,1.8116091942004142
normal,3.1622776601683795,18,1.8801545428581412,0.647338197820878,0.5455773184430985,0.532258064516129,1.2170958533985259,1.0257696737511544,1.0007274179728816,1.8801545428581412
normal,3.1622776601683795,19,1.9512934226359635,-0.8247171717022219,0.034104644286705045,0.5645161290322581,-1.6092651926774801,0.06654816807798675,1.10153660955256,1.9512934226359635
normal,3.1622776601683795,20,2.0251239642430043,0.5687712599060819,-0.5660033708552632,0.5967741935483871,1.1518323086084927,-1.146226990161314,1.2085417205966316,2.0251239642430043
normal,3.1622776601683795,21,2.1017480113324885,-0.03590826922427271,0.7765494282501102,0.6290322580645161,-0.07547013343250678,1.63211121652605,1.3220672974510814,2.1017480113324885
normal,3.1622776601683795,22,2.1812712609873652,-0.4806151903558808,-0.5759376251473477,0.6612903225806451,-1.0483521023172546,-1.2562761898552235,1.4424535758142254,2.1812712609873652
normal,3.1622776601683795,23,2.2638034095214485,0.7139763614761193,0.09606450962132,0.6935483870967742,1.6163021214273572,0.21747116441475023,1.5700572033777789,2.2638034095214485
normal,3.1622776601683795,24,2.3494583037971903,-0.5646676056304808,0.39288101245622203,0.7258064516129032,-1.3266629949338102,0.9230575571195182,1.7052519946915092,2.3494583037971903
normal,3.1622776601683795,25,2.4383540982688285,0.1431412646581369,-0.6362772726870931,0.7580645161290323,0.34902908931055115,-1.5514692954918865,1.8484297196554023,2.4383540982688285
normal,3.1622776601683795,26,2.5306134179675253,0.3046182300335246,0.5315994285678035,0.7903225806451613,0.7708709802803556,1.3452726469175524,2.0000009271033665,2.5306134179675253
normal,3.1622776601683795,27,2.6263635276533326,-0.5417472899425394,-0.1728321614918634,0.8225806451612904,-1.4228253235101205,-0.4539200853477208,2.1603958050051606,2.6263635276533326
normal,3.1622776601683795,28,2.725736507367311,0.47104719507444026,-0.21763575177242117,0.8548387096774194,1.2839505363073733,-0.5932177139144184,2.330065078878508,2.725736507367311
normal,3.1622776601683795,29,2.828869434625969,-0.1781994195756174,0.42579840309507233,0.8870967741935484,-0.5041028913055526,1.2045280878281976,2.509480950071424,2.828869434625969
normal,3.1622776601683795,30,2.935904573509335,-0.13315707197619783,-0.37021058159354225,0.9193548387096774,-0.3909364566100309,-1.0869029396620316,2.6991380756456786,2.935904573509335
normal,3.1622776601683795,31,3.0469895709035084,0.27201812708004053,0.14296510397302814,0.9516129032258065,0.8288363963095887,0.4356131808089525,2.899554591666242,3.0469895709035084
normal,3.1622776601683795,32,3.1622776601683795,-0.17297122811995713,0.04559466062184285,0.9838709677419355,-0.546983050535629,0.14418297670741256,3.111273181778567,3.1622776601683795
long,10.0,1,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0
long,10.0,2,1.0771050560367692,0.9998699186986366,0.0,0.016129032258064516,1.0769649448093748,0.0,0.01737266219414144,1.0771050560367692
long,10.0,3,1.1601553017399717,-0.7365051672459693,0.6746990643877845,0.04838709677419355,-0.8544603745392958,0.7827556966284868,0.056136546858385726,1.1601553017399717
long,10.0,4,1.249609141291987,0.08714096816374788,-0.992926386812206,0.08064516129032258,0.10889215039845336,-1.2407698895905561,0.10077493074935379,1.2496091412919872
long,10.0,5,1.3459603241553646,0.60454849627808,0.7885264594485144,0.11290322580645161,0.8136982900180828,1.0613253289644045,0.15196326240463792,1.3459603241553646
long,10.0,6,1.449740670372632,-0.97428340472078,-0.1723370159819652,0.14516129032258066,-1.4124582762928342,-0.24984398107971326,0.21044622634441434,1.449740670372632
long,10.0,7,1.561523006000497,0.8303694061197012,-0.5282130459474007,0.1774193548387097,1.2966409311348834,-0.8248168233164638,0.2770444042904108,1.5615230060004972
long,10.0,8,1.6819243248808697,-0.2538334614250695,0.9442478242885514,0.20967741935483872,-0.4269286732395343,1.588153384386752,0.3526615519911501,1.68192432488087
long,10.0,9,1.8116091942004142,-0.44721455471963406,-0.8610844114783638,0.24193548387096775,-0.8101779991103333,-1.5599484368168566,0.4382925469839712,1.8116091942004142
long,10.0,10,1.9512934226359635,0.9033213643897355,0.3298915134706548,0.27419354838709675,1.7626450368602353,0.6437151404187121,0.5350320674969576,1.9512934226359633
long,10.0,11,2.1017480113324885,-0.879871813488203,0.36319829401855996,0.3064516129032258,-1.8492688342263408,0.7633512921728608,0.6440840679889884,2.1017480113324885
long,10.0,12,2.263803409521448,0.3987928552202029,-0.8521971679416653,0.3387096774193548,0.9027886253402886,-1.929206854370864,0.7667721225798453,2.263803409521448
long,10.0,13,2.4383540982688285,0.2779286896385565,0.8860804579264139,0.3709677419354839,0.6776885594066595,2.1605779159807916,0.9045507138739203,2.438354098268829
long,10.0,14,2.6263635276533326,-0.7917552219545905,-0.4588383348403702,0.4032258064516129,-2.0794370377706057,-1.2050762677139357,1.059017551473118,2.626363527653333
long,10.0,15,2.828869434625969,0.8792001453403638,-0.19328968560281248,0.43548387096774194,2.487142418072065,-0.5467912836302594,1.2319270118532446,2.828869434625969
